Error;Start;End;Mark;Metod;Predict_num;Changepoint_range;Changepoint_prior_scale;yearly_seasonality;weekly_seasonality;daily_seasonality;growth;n_changepoints;changepoints;seasonality_mode;seasonality_prior_scale;mcmc_samples;interval_width;uncertainty_samples;stan_backend;holidays;holidays_prior_scale
0.02394808943714392;2016-01-01;2023-03-24;high;ideal_absolut;3;0.999;0.55;5;5;True;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.021930341354381284;2017-01-01;2023-03-24;high;ideal_absolut;3;0.999;0.55;5;5;True;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.019221917423268692;2018-01-01;2023-03-24;high;ideal_absolut;3;0.999;0.55;5;5;True;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.015960264008545815;2019-01-01;2023-03-24;high;ideal_absolut;3;0.999;0.55;5;5;True;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.012628510726854373;2020-01-01;2023-03-24;high;ideal_absolut;3;0.999;0.55;5;5;True;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.011101947415588675;2021-01-01;2023-03-24;high;ideal_absolut;3;0.999;0.55;5;5;True;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.010888782629503435;2022-01-01;2023-03-24;high;ideal_absolut;3;0.999;0.55;5;5;True;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.015667585078061503;2010-01-01;2023-03-24;high;ideal_absolut;3;0.999;0.55;5;5;True;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.017799740298547324;2010-01-01;2023-03-24;high;ideal_absolut;3;0.999;0.55;5;5;auto;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.014704289531683715;2019-01-01;2023-03-24;high;ideal_absolut;3;0.999;0.55;5;5;auto;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.014333234770552705;2019-01-01;2023-03-24;low;ideal_absolut;3;0.999;0.55;5;5;auto;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.019395558738148688;2018-01-01;2023-03-24;low;ideal_absolut;3;0.999;0.55;5;5;auto;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.01384943711660839;2018-01-01;2023-03-24;low;ideal_absolut;3;0.999;0.55;10;10;auto;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.014160172244928567;2018-07-01;2023-03-24;low;ideal_absolut;3;0.999;0.55;10;10;auto;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.01183291054540483;2018-07-01;2023-03-24;low;ideal_absolut;10;0.999;0.55;10;10;auto;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.020215673970877646;2018-07-01;2023-03-24;low;ideal_absolut;10;0.999;0.55;5;5;auto;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.010615111768704036;2020-07-01;2023-03-24;low;ideal_absolut;3;0.999;0.55;5;5;auto;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.003544354403002693;2020-01-01;2023-03-24;atr;ideal_absolut;3;0.999;0.55;5;5;auto;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.004300974207156065;2019-01-01;2023-03-24;atr;ideal_absolut;3;0.999;0.55;5;5;auto;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.005077924743421776;2018-01-01;2023-03-24;atr;ideal_absolut;3;0.999;0.55;5;5;auto;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.024953796572213822;2019-01-01;2023-03-24;high;ideal_absolut;3;0.999;0.55;5;5;auto;linear;250;None;additive;100;100;0.01;1000;None;None;10
0.01560226525973126;2019-01-01;2023-03-24;high;ideal_absolut;3;0.999;0.99;5;5;auto;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.03511925766156384;2019-01-01;2023-03-24;high;ideal_absolut;3;0.999;0.99;5;5;auto;flat;250;None;additive;100;0;0.01;1000;None;None;10
0.031765122539199796;2020-01-01;2023-03-24;high;ideal_absolut;3;0.999;0.99;5;5;auto;flat;250;None;additive;100;0;0.01;1000;None;None;10
0.03176512255290653;2020-01-01;2023-03-24;high;ideal_absolut;3;0.999;0.99;5;5;auto;flat;250;None;additive;10;0;0.01;1000;None;None;10
0.03176512255290653;2020-01-01;2023-03-24;high;ideal_absolut;3;0.999;0.99;5;5;auto;flat;250;None;additive;10;0;0.01;1000;None;None;10
0.04667425156863506;2021-07-01;2023-03-24;high;ideal_absolut;3;0.999;0.99;5;5;auto;flat;250;None;additive;100;0;0.01;1000;None;None;10
0.04667463875779284;2021-07-01;2023-03-24;high;ideal_absolut;3;0.999;0.99;5;5;auto;flat;250;None;multiplicative;100;0;0.01;1000;None;None;10
0.010389677820332436;2021-07-01;2023-03-24;high;ideal_absolut;3;0.999;0.99;5;5;auto;linear;250;None;multiplicative;100;0;0.01;1000;None;None;10
0.015353494301464968;2015-03-01;2022-03-01;high;ideal_absolut;3;0.999;0.99;5;5;auto;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.016197456345664163;2015-03-01;2022-03-01;low;ideal_absolut;3;0.999;0.99;5;5;auto;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.022753045849445746;2015-03-01;2022-03-01;low;ideal_absolut;3;0.999;0.99;5;5;auto;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.019745588079017946;2015-03-01;2022-03-01;low;ideal_absolut;30;0.999;0.99;5;5;auto;linear;250;None;additive;100;0;0.01;1000;None;None;10
0.015300490014510186;2015-03-01;2022-03-01;low;ideal_absolut;30;0.999;0.99;False;False;False;linear;250;None;additive;100;0;0.01;1000;None;None;10
